PC1	PC2	PC3	Population	Sample
-0.00997741	0.0276445	0.00743452	GBR	HG00260
-0.00998772	0.0277748	0.00699003	GBR	HG00261
-0.0101276	0.0273063	0.00549073	GBR	HG00262
-0.00971219	0.0277584	0.00509652	GBR	HG00263
-0.010161	0.0271112	0.0075059	GBR	HG00264
-0.0102036	0.027797	0.00654912	GBR	HG00265
-0.0108874	0.0236249	0.00790521	FIN	HG00266
-0.0110119	0.0230966	0.00628654	FIN	HG00267
-0.0106627	0.0244225	0.00743982	FIN	HG00268
-0.0108061	0.0242033	0.00678206	FIN	HG00269
-0.01119	0.0225101	0.00655863	FIN	HG00271
-0.0109756	0.0220346	0.00738678	FIN	HG00272
-0.0107409	0.0235686	0.00801121	FIN	HG00273
-0.0108438	0.0245847	0.00888119	FIN	HG00274
-0.010646	0.0245048	0.00628053	FIN	HG00275
-0.0108804	0.0235264	0.00852258	FIN	HG00276
-0.0107773	0.0250068	0.00698975	FIN	HG00277
-0.0110052	0.0234003	0.00716178	FIN	HG00278
-0.0111286	0.0235246	0.00850143	FIN	HG00280
-0.0114101	0.0234617	0.0089182	FIN	HG00281
-0.0108573	0.0236311	0.00721476	FIN	HG00282
-0.011126	0.0236795	0.00725846	FIN	HG00284
-0.011149	0.0225773	0.00836842	FIN	HG00285
-0.0109673	0.0234697	0.00644383	FIN	HG00288
-0.0111866	0.0227892	0.00739244	FIN	HG00290
-0.0106594	0.0238637	0.00754394	FIN	HG00304
-0.0110062	0.0243368	0.0069741	FIN	HG00306
-0.0111945	0.023318	0.00776314	FIN	HG00308
-0.010611	0.0232591	0.00866003	FIN	HG00309
-0.0105916	0.0245282	0.00779674	FIN	HG00310
-0.0107569	0.0251269	0.00744966	FIN	HG00311
-0.0111356	0.02325	0.00815226	FIN	HG00313
-0.0111058	0.0237356	0.00902077	FIN	HG00315
-0.011125	0.0246001	0.00814739	FIN	HG00318
-0.0107267	0.0233124	0.00663884	FIN	HG00319
-0.011093	0.0235996	0.00820747	FIN	HG00320
-0.0111448	0.0229603	0.00799293	FIN	HG00321
-0.0110329	0.0231967	0.0078404	FIN	HG00323
-0.0109254	0.0236627	0.00937327	FIN	HG00324
-0.0115426	0.0224633	0.00886796	FIN	HG00325
-0.0107695	0.023942	0.00901608	FIN	HG00326
-0.0108902	0.0231131	0.00698144	FIN	HG00327
-0.0112798	0.0240974	0.00992457	FIN	HG00328
-0.0108945	0.0239767	0.00762699	FIN	HG00329
-0.010797	0.023894	0.00818224	FIN	HG00330
-0.0109533	0.0237873	0.0075096	FIN	HG00331
-0.0108999	0.0235436	0.00687874	FIN	HG00332
-0.0107675	0.024607	0.00842223	FIN	HG00334
-0.0111639	0.0239912	0.00809148	FIN	HG00335
-0.0111919	0.0225734	0.00611669	FIN	HG00336
-0.0106744	0.0249194	0.00813207	FIN	HG00337
-0.0105687	0.0237559	0.00695953	FIN	HG00338
-0.0112374	0.0233129	0.00643983	FIN	HG00339
-0.0101063	0.0241416	0.00619961	FIN	HG00341
-0.0110897	0.023058	0.00762167	FIN	HG00342
-0.0109908	0.0235477	0.0075995	FIN	HG00343
-0.0107736	0.0257597	0.00634478	FIN	HG00344
-0.0111813	0.0233774	0.007783	FIN	HG00345
-0.0105975	0.0246366	0.00828462	FIN	HG00346
-0.0111121	0.0228758	0.00645111	FIN	HG00349
-0.0103215	0.0257676	0.00806874	FIN	HG00350
-0.0108043	0.023661	0.00756037	FIN	HG00351
-0.0112492	0.0233674	0.00776809	FIN	HG00353
-0.0109623	0.0244603	0.00794774	FIN	HG00355
-0.0107316	0.0235426	0.00860457	FIN	HG00356
-0.010827	0.0241648	0.0072203	FIN	HG00357
-0.0112443	0.0229415	0.00961617	FIN	HG00358
-0.0106809	0.0243177	0.00803422	FIN	HG00360
-0.0110819	0.0227686	0.00632818	FIN	HG00361
-0.0111142	0.0237213	0.00703212	FIN	HG00362
-0.0110228	0.0240188	0.0081628	FIN	HG00364
-0.010995	0.0232364	0.00805805	FIN	HG00365
-0.010963	0.0235173	0.00745373	FIN	HG00366
-0.0115288	0.0229694	0.00744603	FIN	HG00367
-0.0110341	0.0233146	0.00810518	FIN	HG00368
-0.0112997	0.0234048	0.00855498	FIN	HG00369
-0.0110539	0.0239875	0.00730113	FIN	HG00371
-0.0114552	0.0245176	0.00823129	FIN	HG00372
-0.0115213	0.0221702	0.00856952	FIN	HG00373
-0.0109476	0.0240598	0.00767945	FIN	HG00375
-0.0108876	0.0251076	0.00713007	FIN	HG00376
-0.0109831	0.0239393	0.00734231	FIN	HG00378
-0.0111178	0.0233236	0.00726157	FIN	HG00379
-0.0104109	0.0257086	0.0065175	FIN	HG00380
-0.0114869	0.0244723	0.00749389	FIN	HG00381
-0.0106496	0.0227291	0.00725066	FIN	HG00382
-0.0110024	0.023105	0.00764436	FIN	HG00383
-0.0112001	0.0242435	0.0080903	FIN	HG00384
-0.0167294	-0.0333658	0.000806981	CHS	HG00403
-0.0169824	-0.0336858	0.00112399	CHS	HG00404
-0.0169993	-0.0337325	-0.000855266	CHS	HG00406
-0.0168827	-0.0331314	-0.000637266	CHS	HG00407
-0.0172619	-0.0331708	0.00252403	CHS	HG00409
-0.0167255	-0.0325084	0.000495324	CHS	HG00410
-0.0172234	-0.0333872	0.000399931	CHS	HG00419
-0.0169652	-0.0337166	-0.000550198	CHS	HG00421
-0.0172152	-0.033784	0.000596161	CHS	HG00422
-0.0170612	-0.033836	0.000206633	CHS	HG00428
-0.0169689	-0.0339197	0.00199718	CHS	HG00436
-0.0169563	-0.033594	0.00114847	CHS	HG00437
-0.0168742	-0.0337263	0.000435669	CHS	HG00442
-0.0168758	-0.0332254	0.000134381	CHS	HG00443
-0.0168322	-0.0326356	0.00058622	CHS	HG00445
-0.0170482	-0.0331957	-0.00052203	CHS	HG00446
-0.0166705	-0.0330346	0.00121485	CHS	HG00448
-0.0167993	-0.0336661	0.000933699	CHS	HG00449
-0.0170305	-0.0337422	0.000738481	CHS	HG00451
-0.0168058	-0.033283	0.000733785	CHS	HG00452
-0.0169812	-0.0337493	-0.000228723	CHS	HG00457
-0.0167038	-0.033255	0.000824702	CHS	HG00458
-0.0171388	-0.0338261	0.00174756	CHS	HG00463
-0.017077	-0.0337276	0.000348464	CHS	HG00464
-0.0169953	-0.0333551	0.000240681	CHS	HG00472
-0.0166262	-0.0335255	0.000876445	CHS	HG00473
-0.0167251	-0.033044	0.000318046	CHS	HG00475
-0.0169558	-0.0335136	-0.000108625	CHS	HG00476
-0.0170023	-0.0343372	0.000874073	CHS	HG00478
-0.0170704	-0.0328888	0.000203431	CHS	HG00479
-0.0169972	-0.0333817	0.00144032	CHS	HG00500
-0.0169305	-0.0336926	-0.000493436	CHS	HG00513
-0.0171744	-0.0332512	0.00126685	CHS	HG00524
-0.0165779	-0.0327087	0.00158975	CHS	HG00525
-0.016857	-0.033628	0.000923381	CHS	HG00530
-0.0170545	-0.0332311	0.000620963	CHS	HG00531
-0.0169318	-0.0328883	0.000579453	CHS	HG00533
-0.0168834	-0.033515	0.00106494	CHS	HG00534
-0.017002	-0.0327602	0.00130498	CHS	HG00536
-0.0170963	-0.0339266	0.000760136	CHS	HG00537
-0.0170674	-0.0340371	-0.000114714	CHS	HG00542
-0.0168262	-0.034103	0.000124206	CHS	HG00543
-0.00687839	0.0183842	0.0151485	PUR	HG00551
-0.0029807	0.0137497	0.0178854	PUR	HG00553
-0.00652376	0.0201036	0.0116047	PUR	HG00554
-0.0172288	-0.0327052	0.00105076	CHS	HG00556
-0.0169679	-0.0338059	0.000946476	CHS	HG00557
-0.0172138	-0.0327276	0.00267446	CHS	HG00559
-0.017223	-0.0340185	-0.000694582	CHS	HG00560
-0.0169163	-0.034098	0.000953225	CHS	HG00565
-0.017067	-0.0338057	0.00166924	CHS	HG00566
-0.0172261	-0.033456	0.0013873	CHS	HG00580
-0.0169125	-0.0331899	-0.00000253956	CHS	HG00581
-0.0172129	-0.0341232	-0.00037448	CHS	HG00583
-0.0163327	-0.0336436	0.000321484	CHS	HG00584
-0.017229	-0.0339457	0.000769518	CHS	HG00589
-0.0166712	-0.032661	-0.00158678	CHS	HG00590
-0.0170417	-0.0325802	0.00207878	CHS	HG00592
-0.0170834	-0.0341544	0.000126161	CHS	HG00593
-0.0174451	-0.0336815	-0.000055399	CHS	HG00595
-0.017349	-0.0345461	-0.000158003	CHS	HG00596
-0.0168689	-0.0335908	-0.000326717	CHS	HG00598
-0.0167017	-0.033101	0.001348	CHS	HG00599
-0.0171284	-0.0335059	-0.000018364	CHS	HG00607
-0.0170506	-0.033643	0.00123699	CHS	HG00608
-0.0168704	-0.0336207	0.0000356865	CHS	HG00610
-0.0174081	-0.0337668	0.00346973	CHS	HG00611
-0.0170142	-0.033605	-0.000689388	CHS	HG00613
-0.0167796	-0.0335141	0.000184653	CHS	HG00614
-0.0171798	-0.0335722	0.00182771	CHS	HG00619
-0.0174333	-0.0339075	-0.000102453	CHS	HG00620
-0.0167737	-0.0337653	0.000656582	CHS	HG00622
-0.0168877	-0.0338434	-0.000834444	CHS	HG00623
-0.0168718	-0.0325505	-0.00127781	CHS	HG00625
-0.0172913	-0.0341891	0.0006629	CHS	HG00626
-0.0168212	-0.0334256	0.00128583	CHS	HG00628
-0.0172767	-0.0337152	0.00180391	CHS	HG00629
-0.0169521	-0.0334952	0.000401488	CHS	HG00631
-0.0169665	-0.0335737	0.000202059	CHS	HG00632
-0.0170486	-0.033057	-0.00118625	CHS	HG00634
-0.00404604	0.0167161	0.0142676	PUR	HG00637
-0.00329472	0.0158538	0.0159693	PUR	HG00638
-0.00723277	0.0201494	0.0114898	PUR	HG00640
-0.00696172	0.0170603	0.0160318	PUR	HG00641
-0.0169036	-0.0340484	-0.00198955	CHS	HG00650
-0.0174575	-0.0336868	0.00150683	CHS	HG00651
-0.0167894	-0.0334065	-0.00107119	CHS	HG00653
-0.0172052	-0.0332989	-0.000307557	CHS	HG00654
-0.0165497	-0.0332933	-0.000651791	CHS	HG00656
-0.0168144	-0.0331007	-0.000591878	CHS	HG00657
-0.0169286	-0.0335405	0.000465288	CHS	HG00662
-0.0171295	-0.0332081	0.000154575	CHS	HG00663
-0.0167408	-0.0335848	-0.00144097	CHS	HG00671
-0.017	-0.0337146	0.000507609	CHS	HG00672
-0.0169965	-0.0337939	0.000144445	CHS	HG00674
-0.0167866	-0.0339155	-0.00111618	CHS	HG00675
-0.0171662	-0.0337526	0.00145146	CHS	HG00683
-0.0167425	-0.0331849	0.000022688	CHS	HG00684
-0.0174179	-0.0344913	0.000130174	CHS	HG00689
-0.0169107	-0.0331112	0.0000314599	CHS	HG00690
-0.0171789	-0.0327925	0.00128552	CHS	HG00692
-0.0172385	-0.0335199	0.000409754	CHS	HG00693
-0.0168302	-0.0338203	0.000960468	CHS	HG00698
-0.0166242	-0.0339688	0.000398306	CHS	HG00699
-0.0169003	-0.0335232	0.000294402	CHS	HG00701
-0.0173286	-0.033144	0.000465791	CHS	HG00704
-0.0171908	-0.0337857	-0.00057526	CHS	HG00705
-0.0173961	-0.0333555	0.000393047	CHS	HG00707
-0.0173913	-0.0342899	0.000531093	CHS	HG00708
-0.0168044	-0.0339307	-0.000347948	CHS	HG00717
-0.0171176	-0.033005	-0.000374615	CHS	HG00728
-0.0168707	-0.0331788	-0.00104468	CHS	HG00729
-0.00876448	0.0229619	0.0112105	PUR	HG00731
-0.0077364	0.0197447	0.0137293	PUR	HG00732
-0.00613085	0.0155536	0.019141	PUR	HG00734
-0.00760869	0.0207328	0.0127603	PUR	HG00736
-0.00659819	0.0207213	0.0137471	PUR	HG00737
-0.00814675	0.023591	0.0100797	PUR	HG00739
-0.00555846	0.0174068	0.0160642	PUR	HG00740
-0.00745857	0.023864	0.0101886	PUR	HG00742
-0.00744536	0.0150063	0.0211767	PUR	HG00743
-0.0165473	-0.0327577	-0.00353027	CDX	HG00759
-0.0164579	-0.0329676	-0.00257406	CDX	HG00766
-0.0164863	-0.0325419	-0.00143109	CDX	HG00844
-0.0166455	-0.0330072	-0.000742721	CDX	HG00851
-0.016902	-0.0324293	-0.00265761	CDX	HG00864
-0.0165354	-0.0332104	0.000377366	CDX	HG00867
-0.0164835	-0.0330486	-0.00214631	CDX	HG00879
-0.0168057	-0.0328866	-0.00243098	CDX	HG00881
-0.016263	-0.0326712	-0.00222764	CDX	HG00956
-0.016767	-0.0326818	-0.00185882	CDX	HG00978
-0.0166496	-0.0333104	-0.00203453	CDX	HG00982
-0.0163222	-0.0327367	-0.00373629	CDX	HG01028
-0.0164218	-0.0328661	-0.0032642	CDX	HG01029
-0.0167368	-0.0325965	-0.00101224	CDX	HG01031
-0.0167972	-0.0331529	-0.0013359	CDX	HG01046
-0.00647243	0.0205776	0.0130309	PUR	HG01047
-0.00522755	0.0178442	0.0141535	PUR	HG01048
-0.000616371	0.0143104	0.0148784	PUR	HG01049
-0.00134048	0.0125659	0.0168786	PUR	HG01051
-0.00110099	0.0124682	0.0163195	PUR	HG01052
-0.00779379	0.0186907	0.0165267	PUR	HG01054
-0.00460632	0.0182168	0.0135945	PUR	HG01055
-0.00549929	0.0166626	0.0155491	PUR	HG01058
-0.00634654	0.0192244	0.0135774	PUR	HG01060
-0.00720223	0.0198926	0.0160236	PUR	HG01061
0.00506983	0.0104492	0.0125413	PUR	HG01063
-0.00266087	0.0170468	0.0122019	PUR	HG01064
-0.00718888	0.0198736	0.0154518	PUR	HG01066
-0.00666326	0.0183017	0.0150154	PUR	HG01067
-0.00708496	0.0184956	0.0172936	PUR	HG01069
-0.00818702	0.019587	0.0165468	PUR	HG01070
-0.00633736	0.0191474	0.0145189	PUR	HG01072
-0.0069083	0.0183006	0.0159574	PUR	HG01073
-0.00594985	0.0219688	0.00812123	PUR	HG01075
-0.00279023	0.0129015	0.0151922	PUR	HG01077
-0.00299526	0.0160818	0.0131565	PUR	HG01079
-0.00700785	0.0157995	0.0202816	PUR	HG01080
-0.00149628	0.0141168	0.0138625	PUR	HG01082
-0.00623468	0.0176459	0.0166355	PUR	HG01083
-0.00531274	0.017686	0.0133414	PUR	HG01085
-0.00490555	0.0149101	0.0170286	PUR	HG01086
-0.00241619	0.0166132	0.012728	PUR	HG01088
-0.00440128	0.0163324	0.0137328	PUR	HG01089
0.000407395	0.013887	0.0135255	PUR	HG01092
-0.00451084	0.0172891	0.0136354	PUR	HG01094
-0.00559891	0.0182815	0.0137869	PUR	HG01095
-0.00657595	0.018137	0.0154187	PUR	HG01097
-0.0058838	0.0189574	0.0152506	PUR	HG01098
-0.00413737	0.0152331	0.0185459	PUR	HG01101
-0.00258025	0.0166577	0.0154416	PUR	HG01102
-0.00663909	0.0187939	0.0130516	PUR	HG01104
-0.00658988	0.0212165	0.0115563	PUR	HG01105
-0.000108666	0.0149308	0.0138144	PUR	HG01107
0.017804	0.00382251	0.00883608	PUR	HG01108
-0.00493956	0.0168202	0.015266	PUR	HG01110
-0.0054828	0.0173346	0.0158374	PUR	HG01111
-0.00889129	0.0235693	0.0109737	CLM	HG01112
-0.0113438	0.0149724	0.0247024	CLM	HG01113
-0.00930212	0.0219349	0.0138481	CLM	HG01119
-0.0098606	0.0131103	0.0250866	CLM	HG01121
-0.0076625	0.0164265	0.0202053	CLM	HG01122
-0.00545241	0.0105063	0.0244913	CLM	HG01124
-0.00751244	0.0128022	0.0221148	CLM	HG01125
-0.00861857	0.0154267	0.0215336	CLM	HG01130
-0.00876653	0.0147577	0.0235182	CLM	HG01131
-0.00941302	0.0204089	0.0162013	CLM	HG01133
-0.00585954	0.0139705	0.0195732	CLM	HG01134
-0.00728764	0.0128732	0.0246357	CLM	HG01136
-0.0111459	0.0121528	0.028051	CLM	HG01137
-0.00400937	0.00897295	0.024972	CLM	HG01139
-0.00968818	0.014807	0.0233812	CLM	HG01140
-0.00414304	0.0057921	0.0279306	CLM	HG01142
-0.00912293	0.0155438	0.0233784	CLM	HG01148
-0.0086689	0.00538008	0.0343107	CLM	HG01149
-0.00262691	0.0142899	0.0159738	PUR	HG01161
-0.00595916	0.0170997	0.0146057	PUR	HG01162
-0.0056916	0.0195084	0.0138384	PUR	HG01164
-0.00055073	0.0132299	0.0140466	PUR	HG01167
-0.00867074	0.0236893	0.00884397	PUR	HG01168
-0.00547824	0.0162169	0.0164846	PUR	HG01170
-0.00229178	0.0147871	0.0147771	PUR	HG01171
-0.00662821	0.0223615	0.00931619	PUR	HG01173
-0.00799487	0.0202024	0.0130444	PUR	HG01174
-0.00674219	0.0176383	0.0172412	PUR	HG01176
-0.00777855	0.0166657	0.0184141	PUR	HG01177
-0.00464864	0.0161927	0.015684	PUR	HG01182
-0.00489533	0.0164823	0.0175685	PUR	HG01183
-0.00338298	0.0110077	0.0222493	PUR	HG01187
-0.00189538	0.0107749	0.0184213	PUR	HG01188
-0.00426234	0.0122418	0.0199384	PUR	HG01190
-0.00657396	0.0163416	0.0176465	PUR	HG01191
-0.00761536	0.0192289	0.0160265	PUR	HG01197
-0.00253504	0.015202	0.0156218	PUR	HG01198
-0.00826188	0.0218593	0.0112118	PUR	HG01200
-0.00584765	0.0177036	0.0130052	PUR	HG01204
-0.00492449	0.0185066	0.013536	PUR	HG01205
0.0203122	0.00161094	0.00844061	PUR	HG01241
0.0124666	0.00836304	0.0064663	PUR	HG01242
-0.00187775	0.0134513	0.0166532	PUR	HG01247
-0.0055175	0.0188882	0.0121799	PUR	HG01248
-0.00845407	0.0115174	0.0263313	CLM	HG01250
-0.0103153	0.0157231	0.0237205	CLM	HG01251
-0.00955624	0.016243	0.0211601	CLM	HG01253
-0.00467404	0.00925424	0.024892	CLM	HG01254
-0.0098631	0.0198729	0.017537	CLM	HG01256
-0.0112557	0.0150314	0.0256453	CLM	HG01257
-0.00905357	0.0213491	0.0143049	CLM	HG01259
-0.00625776	0.0100398	0.0261619	CLM	HG01260
-0.00854039	0.0138452	0.024591	CLM	HG01269
-0.00793109	0.0145003	0.0226557	CLM	HG01271
-0.00393433	0.00801991	0.0255117	CLM	HG01272
-0.00932014	0.0253952	0.0097383	CLM	HG01275
-0.0116974	0.0119643	0.0295544	CLM	HG01277
-0.0104617	0.015075	0.0254546	CLM	HG01280
-0.00993272	0.0155023	0.0229851	CLM	HG01281
-0.00790495	0.0157317	0.0200316	CLM	HG01284
-0.000195803	0.0132516	0.0148108	PUR	HG01286
-0.00604571	0.0152922	0.0165339	PUR	HG01302
-0.00572409	0.0148312	0.0154649	PUR	HG01303
-0.00434488	0.0152111	0.0175931	PUR	HG01305
-0.000415163	0.0138246	0.0146938	PUR	HG01308
-0.00614407	0.0202682	0.0109204	PUR	HG01311
-0.00478539	0.0179429	0.0126359	PUR	HG01312
-0.00566754	0.0168964	0.0160523	PUR	HG01323
-0.00408956	0.0193064	0.012125	PUR	HG01325
-0.00619323	0.0165847	0.0184333	PUR	HG01326
-0.0101426	0.0267476	0.00815236	GBR	HG01334
-0.01363	0.00230126	0.044623	CLM	HG01341
0.00473221	0.00633976	0.0192176	CLM	HG01342
-0.0112691	0.00972343	0.033543	CLM	HG01344
-0.00884352	0.0163597	0.019671	CLM	HG01345
-0.0105275	0.0101342	0.0318693	CLM	HG01348
-0.00914312	0.00880075	0.0314618	CLM	HG01350
-0.0109903	0.015182	0.0245422	CLM	HG01351
-0.00988765	0.0186258	0.0176458	CLM	HG01353
-0.0100041	0.0202529	0.0180401	CLM	HG01354
-0.00907897	0.0132641	0.0259506	CLM	HG01356
-0.0111565	0.0142556	0.025595	CLM	HG01357
-0.00938057	0.015374	0.021148	CLM	HG01359
-0.00838122	0.0156262	0.0197869	CLM	HG01360
-0.00592192	0.0135838	0.0205411	CLM	HG01362
-0.00408978	0.00846344	0.0254488	CLM	HG01363
-0.00535914	0.0113827	0.0241931	CLM	HG01365
-0.006645	0.0125933	0.0242289	CLM	HG01366
-0.00785883	0.00262475	0.0387172	CLM	HG01369
-0.0102398	0.0133547	0.0274977	CLM	HG01372
-0.0107151	0.0168926	0.0242837	CLM	HG01374
-0.00570227	0.0103977	0.0260716	CLM	HG01375
-0.00730985	0.011911	0.023834	CLM	HG01377
-0.010495	0.00997146	0.0307805	CLM	HG01378
-0.0100036	0.0167943	0.0218606	CLM	HG01383
-0.00868995	0.0151972	0.0217323	CLM	HG01384
-0.00771484	0.0196866	0.0147917	CLM	HG01389
0.000905971	0.00612218	0.0243652	CLM	HG01390
-0.00396561	0.0144489	0.0172781	PUR	HG01392
-0.00122308	0.0141991	0.0154662	PUR	HG01393
-0.00689392	0.0199261	0.0151237	PUR	HG01395
-0.00338269	0.0129448	0.0181329	PUR	HG01396
-0.00330349	0.0161912	0.0158632	PUR	HG01398
-0.00376554	0.0135111	0.0171634	PUR	HG01402
-0.00338485	0.0142278	0.0160988	PUR	HG01403
-0.00567881	0.019156	0.0119588	PUR	HG01405
-0.0069878	0.015513	0.0210639	PUR	HG01412
-0.00470674	0.0149603	0.0185647	PUR	HG01413
-0.00461305	0.0152384	0.0157184	PUR	HG01414
-0.00697828	0.01258	0.0253229	CLM	HG01431
-0.0101209	0.0164817	0.0213917	CLM	HG01432
-0.011358	0.00425106	0.0391203	CLM	HG01435
-0.00955466	0.0215066	0.0133874	CLM	HG01437
-0.00897705	0.0253338	0.00898473	CLM	HG01438
-0.00359799	0.012333	0.0215309	CLM	HG01440
-0.0115027	0.00872542	0.0308096	CLM	HG01441
-0.0120953	0.00230223	0.0432992	CLM	HG01443
-0.00771466	0.0116474	0.0243527	CLM	HG01444
-0.00829672	0.0142198	0.0209097	CLM	HG01447
-0.0110161	0.00949966	0.03411	CLM	HG01455
-0.00997003	0.00972354	0.0309635	CLM	HG01456
-0.0106534	0.0101005	0.0338283	CLM	HG01459
-0.00466287	0.00518176	0.0310853	CLM	HG01461
0.00082198	0.00390604	0.024793	CLM	HG01462
-0.00370575	0.00779631	0.0282665	CLM	HG01464
-0.0102266	0.0185835	0.0191447	CLM	HG01465
-0.00953512	0.0191945	0.017337	CLM	HG01468
-0.0096004	0.0210542	0.0163128	CLM	HG01474
-0.00878126	0.022105	0.013698	CLM	HG01479
0.00383764	0.00399561	0.0213566	CLM	HG01485
-0.0109268	0.0115033	0.0299798	CLM	HG01486
